captured_at,window_days,session_count,total_tokens,input_tokens,output_tokens,total_cost_usd,cost_per_session_usd,source
2026-08-18T12:22:57Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-18T18:21:49Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-19T00:37:52Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-19T06:24:49Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-19T12:22:47Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-19T18:18:18Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-20T00:37:43Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-20T06:25:53Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-20T12:25:47Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-20T18:22:52Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-21T00:39:58Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-21T06:27:22Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-21T12:24:35Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-21T18:21:30Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-22T00:37:20Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-22T06:21:06Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-22T12:17:55Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-22T18:14:29Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-23T00:40:23Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-23T06:22:40Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-23T12:18:27Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-23T18:14:18Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
